model,severity,n_phish,recall_05,recall_fpr,pr_auc,roc_auc,fpr_threshold,url_condition,training
logreg,0.0,270,0.9888888888888889,0.9888888888888889,0.9920720989529426,0.9994545498819003,0.4723023420367796,original,baseline
random_forest,0.0,270,0.9740740740740741,0.9925925925925926,0.9953555229520255,0.9995645327554159,0.2779333333333337,original,baseline
gradient_boosting,0.0,270,0.9814814814814815,0.9888888888888889,0.9926137537270842,0.9993384793954594,0.4197352344974054,original,baseline
logreg,0.25,270,0.9296296296296296,0.9333333333333333,0.9420662318893651,0.9953117263658573,0.4723023420367796,original,baseline
random_forest,0.25,270,0.9592592592592593,0.9888888888888889,0.9931046056055092,0.9989732226199463,0.2779333333333337,original,baseline
gradient_boosting,0.25,270,0.9740740740740741,0.9814814814814815,0.9879244154927803,0.9979854059626139,0.4197352344974054,original,baseline
logreg,0.5,270,0.9111111111111111,0.9222222222222223,0.9405267261432658,0.9973060283601595,0.4723023420367796,original,baseline
random_forest,0.5,270,0.9629629629629629,0.9888888888888889,0.9954837345146632,0.9997029244892492,0.2779333333333337,original,baseline
gradient_boosting,0.5,270,0.9814814814814815,0.9888888888888889,0.9924912879223688,0.999462666699134,0.4197352344974054,original,baseline
logreg,0.75,270,0.8703703703703703,0.8814814814814815,0.9051728123306272,0.9958141573526189,0.4723023420367796,original,baseline
random_forest,0.75,270,0.9407407407407408,0.9851851851851852,0.9904646956112938,0.999466319266889,0.2779333333333337,original,baseline
gradient_boosting,0.75,270,0.9703703703703703,0.9814814814814815,0.9894265130381517,0.9990827996526003,0.4197352344974054,original,baseline
logreg,1.0,270,0.8666666666666667,0.8814814814814815,0.9033989957924842,0.9956542560531164,0.4723023420367796,original,baseline
random_forest,1.0,270,0.9222222222222223,0.9925925925925926,0.9922057321668771,0.9995933474565953,0.2779333333333337,original,baseline
gradient_boosting,1.0,270,0.9703703703703703,0.9851851851851852,0.9878657329575925,0.999254876177953,0.4197352344974054,original,baseline
logreg,0.0,270,0.9888888888888889,0.9888888888888889,0.9923959539679629,0.9995073091939188,0.4303680164296808,original,adv_trained
random_forest,0.0,270,0.9740740740740741,0.9925925925925926,0.9949702905874462,0.9995000040584086,0.301266666666667,original,adv_trained
gradient_boosting,0.0,270,0.9851851851851852,0.9888888888888889,0.993159811161146,0.9995349063725132,0.46257280149004554,original,adv_trained
logreg,0.25,270,0.9555555555555556,0.9592592592592593,0.9649634795823022,0.9964212952816942,0.4303680164296808,original,adv_trained
random_forest,0.25,270,0.9740740740740741,0.9925925925925926,0.9936194590072922,0.998984992004935,0.301266666666667,original,adv_trained
gradient_boosting,0.25,270,0.9777777777777777,0.9851851851851852,0.9887825795779993,0.998596602300306,0.46257280149004554,original,adv_trained
logreg,0.5,270,0.9888888888888889,0.9925925925925926,0.9861903031862358,0.9993644532106071,0.4303680164296808,original,adv_trained
random_forest,0.5,270,0.9888888888888889,0.9962962962962963,0.9986363161095548,0.9999119325330151,0.301266666666667,original,adv_trained
gradient_boosting,0.5,270,0.9925925925925926,0.9925925925925926,0.9949372208752657,0.999672892265485,0.46257280149004554,original,adv_trained
logreg,0.75,270,0.9925925925925926,1.0,0.9882188422919184,0.9995113676025358,0.4303680164296808,original,adv_trained
random_forest,0.75,270,0.9925925925925926,1.0,0.999376509232656,0.9999650976858955,0.301266666666667,original,adv_trained
gradient_boosting,0.75,270,0.9962962962962963,0.9962962962962963,0.9958992826921078,0.9997451319388642,0.46257280149004554,original,adv_trained
logreg,1.0,270,0.9888888888888889,0.9962962962962963,0.9880372498940309,0.9994659134260274,0.4303680164296808,original,adv_trained
random_forest,1.0,270,1.0,1.0,0.9996297669454719,0.9999788962751927,0.301266666666667,original,adv_trained
gradient_boosting,1.0,270,0.9851851851851852,0.9888888888888889,0.9942446521753141,0.9996120161362327,0.46257280149004554,original,adv_trained
logreg,0.0,270,0.9851851851851852,0.9851851851851852,0.9910350357601011,0.9992970836275679,0.49166107975500567,url_masked,baseline
random_forest,0.0,270,0.9481481481481482,0.9814814814814815,0.9931227972497833,0.9993096646942801,0.2879333333333337,url_masked,baseline
gradient_boosting,0.0,270,0.9777777777777777,0.9777777777777777,0.9892012701501487,0.9992313374079755,0.46403434435081065,url_masked,baseline
logreg,0.25,270,0.9074074074074074,0.9111111111111111,0.9305078254520462,0.9934797607162278,0.49166107975500567,url_masked,baseline
random_forest,0.25,270,0.9407407407407408,0.9777777777777777,0.9873041001241677,0.9981895439160396,0.2879333333333337,url_masked,baseline
gradient_boosting,0.25,270,0.9518518518518518,0.9555555555555556,0.973177598846133,0.9962435369842777,0.46403434435081065,url_masked,baseline
logreg,0.5,270,0.8740740740740741,0.8740740740740741,0.9176823708520578,0.9954537706674458,0.49166107975500567,url_masked,baseline
random_forest,0.5,270,0.937037037037037,0.9888888888888889,0.99122268440546,0.9993758167547342,0.2879333333333337,url_masked,baseline
gradient_boosting,0.5,270,0.9629629629629629,0.9740740740740741,0.9820419403242847,0.9982841048368113,0.46403434435081065,url_masked,baseline
logreg,0.75,270,0.8148148148148148,0.8148148148148148,0.8612665001213744,0.9929042783743638,0.49166107975500567,url_masked,baseline
random_forest,0.75,270,0.9111111111111111,0.9666666666666667,0.9821639831504136,0.9987556919180851,0.2879333333333337,url_masked,baseline
gradient_boosting,0.75,270,0.9333333333333333,0.9481481481481482,0.9737688388481135,0.9980868661780342,0.46403434435081065,url_masked,baseline
logreg,1.0,270,0.762962962962963,0.7666666666666667,0.8470029711247695,0.9920008766162611,0.49166107975500567,url_masked,baseline
random_forest,1.0,270,0.8555555555555555,0.9814814814814815,0.981882323809986,0.998955771462894,0.2879333333333337,url_masked,baseline
gradient_boosting,1.0,270,0.9259259259259259,0.937037037037037,0.9578450032991204,0.9952841291872632,0.46403434435081065,url_masked,baseline
logreg,0.0,270,0.9888888888888889,0.9888888888888889,0.9915931836418945,0.9993628298471603,0.4644028496273922,url_masked,adv_trained
random_forest,0.0,270,0.9555555555555556,0.9814814814814815,0.9920769478550416,0.9992475710424429,0.32126666666666703,url_masked,adv_trained
gradient_boosting,0.0,270,0.9777777777777777,0.9777777777777777,0.988197757416723,0.9989172165810342,0.4795274475743062,url_masked,adv_trained
logreg,0.25,270,0.9407407407407408,0.9444444444444444,0.9600738126212893,0.9953433819530685,0.4644028496273922,url_masked,adv_trained
random_forest,0.25,270,0.9555555555555556,0.9777777777777777,0.9885520307299112,0.9982045600279219,0.32126666666666703,url_masked,adv_trained
gradient_boosting,0.25,270,0.9592592592592593,0.9629629629629629,0.9790419752938333,0.9964537625506287,0.4795274475743062,url_masked,adv_trained
logreg,0.5,270,0.9814814814814815,0.9888888888888889,0.9875504453168913,0.9993011420361848,0.4644028496273922,url_masked,adv_trained
random_forest,0.5,270,0.9851851851851852,0.9925925925925926,0.9971911947872165,0.9998116898401799,0.32126666666666703,url_masked,adv_trained
