set,model,severity,n_phish,roc_auc,roc_auc_lo,roc_auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,f1,f1_lo,f1_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi
per_severity_pass,logreg,0.0,270,0.9994545498819003,0.9989871673714805,0.9998334262744307,0.9920720989529426,0.9856771187383089,0.9973570383970759,0.9270833333333334,0.9040528458823608,0.949325945710108,0.8725490196078431,0.8338626492942455,0.9108296020684872,0.9888888888888889,0.9757767955955899,1.0
per_severity_pass,random_forest,0.0,270,0.9995645327554159,0.9989172564612617,0.9999376142026988,0.9953555229520255,0.9901301234219086,0.999026686419768,0.9795158286778398,0.967741935483871,0.9902551405395208,0.9850187265917603,0.9701408054069277,0.9964032000206287,0.9740740740740741,0.9552208346024977,0.9920334472387131
per_severity_pass,gradient_boosting,0.0,270,0.9993384793954594,0.9985151611634514,0.9998302965958381,0.9926137537270842,0.9861199131813763,0.9971685619782074,0.9464285714285714,0.927054124967415,0.9642857142857143,0.9137931034482759,0.8827580590812085,0.9446645971934171,0.9814814814814815,0.9647058823529412,0.9961244051360331
per_severity_pass,logreg,0.25,362,0.9957858247276011,0.9926455570447119,0.9979159695357139,0.9575846333540513,0.9312992353983093,0.9781808908651537,0.9147496617050067,0.8917009493670885,0.9344505865118092,0.896551724137931,0.8639968586387434,0.9264490264770758,0.9337016574585635,0.9073425160485845,0.9585669991362311
per_severity_pass,random_forest,0.25,362,0.9990228876756713,0.997656094534201,0.9998964984671895,0.9942037629066627,0.9878323117629243,0.998726499323851,0.9776536312849162,0.9654232269503547,0.9882375829709316,0.9887005649717514,0.9757471980074719,1.0,0.9668508287292817,0.9465191546572405,0.9844165937689253
per_severity_pass,gradient_boosting,0.25,362,0.9982122597932201,0.9960087254340121,0.9996316715508498,0.9904153539395018,0.9827920578302425,0.9961347504941735,0.9540540540540541,0.9372252686791623,0.9689997516067935,0.9338624338624338,0.9071603542491049,0.957073410426685,0.9751381215469613,0.9582089552238806,0.9896425659503958
per_severity_pass,logreg,0.5,328,0.9972732690837757,0.9961394373564002,0.9982463105812166,0.9507271841583091,0.9186917689535867,0.9765846031871054,0.8995502248875562,0.8735495347564314,0.9226158691824361,0.8849557522123894,0.8506441139505656,0.9177268092801354,0.9146341463414634,0.8825350140056022,0.9408191313908741
per_severity_pass,random_forest,0.5,328,0.9997103558313689,0.9994559447298109,0.9999129396536136,0.99627264990957,0.992675646210088,0.9989091064284378,0.973724884080371,0.9601244019138756,0.985508409519157,0.987460815047022,0.9741330169605751,0.9969425910480956,0.9603658536585366,0.9370830091652593,0.9802044699583965
per_severity_pass,gradient_boosting,0.5,328,0.9994781727896174,0.9991005438006382,0.999776995872111,0.9937915455090273,0.9896020036033083,0.9972181855311899,0.9525222551928784,0.9354320755551623,0.9699685095360235,0.9277456647398844,0.9002777777777777,0.9566397622068706,0.9786585365853658,0.9607798573975045,0.9934869181464747
per_severity_pass,logreg,0.75,314,0.9958744596177227,0.9942413420499179,0.9970781331326767,0.9181601269735631,0.8747207580808518,0.9539153790691679,0.8740031897926634,0.8443095118174865,0.8987377328971697,0.8753993610223643,0.8369104938271604,0.9091136363636363,0.8726114649681529,0.8361190306486102,0.9084751301650603
per_severity_pass,random_forest,0.75,314,0.9995013198099921,0.9990818181894013,0.9997939495300482,0.9921827168866197,0.9838975644474942,0.9972531823334171,0.9641693811074918,0.9478823502168979,0.9778498482609911,0.9866666666666667,0.97202304737516,0.996942129111658,0.9426751592356688,0.9169166666666667,0.9666863905325443
per_severity_pass,gradient_boosting,0.75,314,0.9991799171123031,0.9983858415956255,0.9996760842118101,0.9914440460561441,0.9853129885552621,0.9956183178838858,0.9488372093023256,0.9297121162810952,0.9636671153047637,0.9244712990936556,0.8937484426910299,0.9489852607709751,0.9745222929936306,0.9555448717948718,0.9901647380263581
per_severity_pass,logreg,1.0,303,0.9950563761175591,0.9926360108814347,0.9968027716913586,0.9129685131962448,0.874868325064845,0.9505731401036012,0.8675496688741722,0.839041095890411,0.8942114244656009,0.8704318936877077,0.8286710563579722,0.9072182016795248,0.8646864686468647,0.821177201821742,0.9017382197995171
per_severity_pass,random_forest,1.0,303,0.9992401935788583,0.9983142419085193,0.9998057330178353,0.9911745573627517,0.9819069787434488,0.997244057345051,0.9540034071550255,0.9344790386232774,0.970150489275477,0.9859154929577465,0.9722222222222222,0.9966445758793293,0.9240924092409241,0.8909090909090909,0.9538029540658984
per_severity_pass,gradient_boosting,1.0,303,0.9987660830514347,0.997455262432587,0.9995663123179479,0.9869785699543311,0.9786166222451677,0.9935278539393101,0.9453376205787781,0.9251636832207286,0.9629658119658119,0.9216300940438872,0.8910741290267356,0.9495861555324471,0.9702970297029703,0.9493590260420866,0.9872621575169346
