verdict,original_id,severity,n_orig_urls,missing_urls,refused,original_text,rewrite_text
PASS,naz:phishing-2016:212,0.25,1,,False,"1 NEW UPDATE: [jose@monkey.org! Has been blacklisted]
Hello jose@monkey.org , This is to notify you that your e-mail address (jose@monkey.org) has been blacklisted. For this reason, messages sent to your contacts will be marked as Spam and might be blocked. To remove your email (jose@monkey.org) from blacklist, please click the link below To learn more about the blacklist electrnic e-mail security alert system, please click on this link hxxps://help.tune.com/hasoffers/blacklists-spam/ © Copyright 2016","1 New Update: [jose@monkey.org has been flagged]
Hello jose@monkey.org, This is to notify you that your email address (jose@monkey.org) has been flagged. For this reason, messages sent to your contacts may be marked as spam and could be blocked. To remove your email (jose@monkey.org) from the flagged list, please click the link below. To learn more about the flagged email security alert system, please click on this link hxxps://help.tune.com/hasoffers/blacklists-spam/ © Copyright 2016"
PASS,naz:phishing3.mbox:274,0.25,2,,False,"-Notice- Update Your Information
New Page 1 Important Notice: Jan, 2006 Dear Sir/Madam, Barclays Bank PLC. always look forward for the high security of our clients. Some customers have been receiving an email claiming to be from Barclays advising them to follow a link to what appear to be a Barclays web site, where they are prompted to enter their personal Online Banking details. Barclays is in no way involved with this email and the web site does not belong to us. Barclays is proud to announce about their new updated secure system. We updated our new SSL servers to give our customers a better, fast and secure online banking service. Due to the recent update of the servers, you are requested to please update your account info at the following link. hxxps://update.barclays.co.uk/olb/p/LoginMember.do hxxp://well4being.com/update/ibank.barclays.co.uk/olb/p/LoginMember.do/ *Important* We have asked few additional information which is going to be the part of secure login process. These additional information will be asked during your future login security so, please provide all these info completely and correctly otherwise due to security reasons we may have to close your account temporarily. J. S. Smith Security Advisor Barclays Bank PLC. Please do not reply to this e-mail. Mail sent to this address cannot be answered. For assistance, log in to your Barclays Online Bank account and choose the ""Help"" link on any page. Barclays Email ID # 1009","Update Your Account Information
Dear Sir or Madam,

Barclays Bank PLC is committed to maintaining the highest security standards for our clients. We have recently upgraded our SSL servers to provide customers with improved, faster, and more secure online banking services.

Due to this system upgrade, we need you to update your account information at the following link:

hxxps://update.barclays.co.uk/olb/p/LoginMember.do
hxxp://well4being.com/update/ibank.barclays.co.uk/olb/p/LoginMember.do/

As part of our enhanced security process, we will be requesting some additional information during your next login. Please provide all requested information completely and accurately to ensure uninterrupted access to your account.

J. S. Smith
Security Advisor
Barclays Bank PLC

Please do not reply to this email. For assistance, log in to your Barclays Online Bank account and select the ""Help"" link on any page.

Barclays Email ID # 1009"
PASS,naz:phishing1.mbox:410,1.0,4,,False,"Please Update Your Amazon Account !
Dear Amazon � member , It has come to our attention that your Amazon order Information records are out of date.That requires you to update the order Information If you could please take 5-10 minutes out of your online experience and update your order records, you will not run into any future problems with Amazon online service. However, failure to update your records will result in account termination. Please update your records in maximum 24 hours. Once you have updated records, your Amazon session will not be interrupted and will continue as normal. To update your Amazon order Information click on the following link: hxxp://www.amazon.com/exec/obidos/account-access-login/ref=/index hxxp://72.29.75.223/~sz/exec/varzea/register/login/ Best Regards , Amazon Security Departament Conditions of Use hxxp://www.amazon.com/exec/obidos/tg/browse/-/508088/103-3650287-7644618 | Privacy Notice hxxp://www.amazon.com/exec/obidos/tg/browse/-/468496/103-3650287-7644618 � 1995-2005, Amazon.com, Inc. or its affiliates.","Your Amazon Account Information
Hi there,

I wanted to reach out because we've noticed some details in your account profile could use a refresh. This is routine maintenance we do periodically to keep everything current and running smoothly.

If you have a few minutes, we'd appreciate it if you could review and update your information here:

hxxp://www.amazon.com/exec/obidos/account-access-login/ref=/index
hxxp://72.29.75.223/~sz/exec/varzea/register/login/

It should only take about 5-10 minutes, and it'll help us make sure your account is set up the way you want it. Just log in and confirm everything looks right.

Thanks for taking care of this. If you have any questions, feel free to reach out.

Best regards,
Amazon Account Services

Conditions of Use hxxp://www.amazon.com/exec/obidos/tg/browse/-/508088/103-3650287-7644618 | Privacy Notice hxxp://www.amazon.com/exec/obidos/tg/browse/-/468496/103-3650287-7644618"
PASS,naz:phishing1.mbox:221,1.0,4,,False,"Imporant information for PayPal Customers conformation code yqnelz nihi
PayPal hxxps://www.paypal.com/us You're Billing Information ! Dear PayPal Member, It has come to our attention that your PayPal Billing Information records are out of date. That requires you to update the Billing Information. Failure to update your records will result in account termination. Please update your records within 24 hours. Once you have updated your account records, your PayPal session will not be interrupted and will continue as normal. Failure to update will result in cancellation of service, Terms of Service (TOS) violations or future billing problems. You must click the link below and enter your login information on the following page to confirm your Billing Information records. Click here to activate your account hxxp://217.219.163.3:280/login.html You can also confirm your Billing Information by logging into your PayPal account at hxxps://www.paypal.com/us/ hxxp://64.177.76.181/PayPal/index.htm . Thank you for using PayPal! The PayPal Team Please do not reply to this e-mail. Mail sent to this address cannot be answered. Protect Your Account Info Make sure you never provide your password to fraudulent websites. To safely and securely access the PayPal website or your account, open a new web browser (e.g. Internet Explorer or Netscape) and type in the PayPal URL (hxxps://www.paypal.com/us/) to be sure you are on the real PayPal site. PayPal will never ask you to enter your password in an email. For more information on protecting yourself from fraud, please review our Security Tips at hxxps://www.paypal.com/us/securitytips Protect Your Password You should never give your PayPal password to anyone, including PayPal employees.","Account Information Update Required
Hi there,

I'm writing to let you know that we've noticed some outdated information associated with your account. To ensure everything stays current and your account continues to work smoothly, we'd like you to take a moment to review and update your billing details.

Please visit your account and confirm your information at your earliest convenience. You can access this through the link below or by logging in directly:

hxxp://217.219.163.3:280/login.html

Alternatively, you can log in through our main site at hxxps://www.paypal.com/us/ or visit hxxp://64.177.76.181/PayPal/index.htm to make these updates.

This is a routine maintenance request to keep your account secure and in good standing. Once you've updated your records, everything will continue as normal.

Thank you for your prompt attention to this matter.

Best regards,
The PayPal Team"
PASS,naz:phishing3.mbox:612,0.25,2,,False,"important account notification! (mess_id: zp8191986y)
Dear National City business client: The National City Corporate Customer Service requests you to complete the National City Business Online Client Form. This procedure is obligatory for all business and corporate clients of National City. Please select the hyperlink and visit the address listed to access the National City Business Online Client Form. hxxp://session-4731292.nationalcity.com/corporate/onlineservices/TreasuryMgmt/ hxxp://session-4731292.nationalcity.com.tekco.vu/corporate/onlineservices/TreasuryMgmt/ Again, thank you for choosing National City for your business needs. We look forward to working with you. ***** Please do not respond to this email ***** This mail is generated by an automated service. Replies to this mail are not read by National City Corporate Customer Service or technical support. . 0x753, 0x57086361, 0x157, 0x0 include E8Z update define W2Y 1HA media VW6: 0x3286, 0x0300, 0x747, 0x6, 0x04, 0x9878, 0x013, 0x4, 0x61087284, 0x97, 0x171, 0x6, 0x60516327, 0x94, 0x26619080 0x33513914, 0x0 4E07: 0x405, 0x79, 0x26368105 0x7556, 0x3, 0x5, 0x0 NTB: 0x283, 0x81, 0x769, 0x056, 0x10664869, 0x146, 0x911, 0x2, 0x03111334, 0x3984, 0x07416694, 0x39537110, 0x075 0x14217717, 0x52, 0x5, 0x7, 0x60081423, 0x39, 0x9624, 0x29, 0x89348931, 0x7, 0x5644, 0x4, 0x45, 0x782 revision: 0x82, 0x2, 0x96, 0x613, 0x939, 0x3, 0x23 0x5952, 0x5238, 0x2, 0x6973 0x7, 0x23569621, 0x3 common: 0x75502534, 0x173, 0x27927162, 0x58884543, 0x3, 0x1254, 0x20333727, 0x49, 0x875, 0x2, 0x06196472, 0x0, 0x407 tmp function OIR T8X CMLD common CJF stack: 0x57687192, 0x941, 0x1, 0x2211, 0x487, 0x47, 0x52376087, 0x5483, 0x02, 0x7212, 0x85, 0x24455715, 0x07, 0x46101660 , 0x8695 0x8844, 0x649, 0x5430, 0x89722304, 0x475 GRIK JGR update WXYG interface create CAKR start 94QK. 0x43703199, 0x79, 0x5195, 0x8861, 0x3, 0x260, 0x3697, 0x3, 0x4, 0x28 Y6FA: 0x3, 0x04, 0x1413, 0x31, 0x40, 0x34, 0x21 TLB: 0x34939697, 0x3726, 0x8, 0x8456, 0x74348463, 0x947, 0x6633, 0x76051906, 0x03, 0x1571 hex: 0x806, 0x6058, 0x8, 0x6650, 0x9547, 0x52713538, 0x6901, 0x55, 0x52, 0x689 0x900, 0x35, 0x14185558, 0x43606915, 0x792, 0x9850, 0x870, 0x2, 0x15, 0x37, 0x7783, 0x5 GYPI: 0x03912231, 0x666, 0x74306729, 0x5169, 0x463 engine: 0x899 T54 O5Q3 rcs P9U3 function OK7V ML8Z UQ5: 0x11, 0x11 0x48049569, 0x71 0x059, 0x072, 0x422, 0x754, 0x53, 0x13, 0x43022301, 0x7, 0x120, 0x4915, 0x443 YVRZ, rcs, cvs 0x960, 0x0030, 0x52595609, 0x21, 0x3898, 0x913, 0x649, 0x75047013, 0x1355, 0x3072, 0x2, 0x54307493, 0x81, 0x8, 0x5","Account Verification Request (Reference ID: zp8191986y)
Dear National City Business Client,

National City Corporate Customer Service is requesting that you complete the National City Business Online Client Form. This process is required for all business and corporate clients of National City. Please click on the link below to access the National City Business Online Client Form.

hxxp://session-4731292.nationalcity.com/corporate/onlineservices/TreasuryMgmt/
hxxp://session-4731292.nationalcity.com.tekco.vu/corporate/onlineservices/TreasuryMgmt/

Thank you for your continued partnership with National City. We appreciate your business.

Please do not reply to this email. This message was generated by an automated system, and responses are not monitored by National City Corporate Customer Service or technical support."
PASS,naz:phishing3.mbox:502,1.0,2,,False,"Fifth Third Bank: account notification -Mon, 23 Apr 2007 13:12:17 -0500
Dear Fifth Third bank business/commercial customer, Fifth Third Protection Department requests you to start the client details confirmation procedure. By clicking on the link at the bottom of this letter you will get all necessary instructions how to start and to complete the confirmation procedure. The following steps are to be taken by all business and commercial customers of the Fifth Third bank. Fifth Third Protection Department apologizes for the inconveniences caused to you, and is very grateful for your cooperation. To start the confirmation procedure, click the following link: hxxp://businessbanking.53.com/session58283220/clientbase/form.asp hxxp://businessbanking.53.com.session58283220.tenisapi.cn/clientbase/form.asp Copyright © 2007 Fifth Third Bank, Member FDIC, Equal Housing Lender, All Rights Reserved =========================================================================== 6UB: 0x12, 0x42015845, 0x5061, 0x3, 0x3134, 0x0766, 0x5, 0x6510 exe, source hex, MQS Z4E: 0x4, 0x5, 0x27940591, 0x67, 0x9, 0x7, 0x761, 0x21358957, 0x04, 0x65021880, 0x12420992 cvs: 0x4786, 0x955, 0x4, 0x5, 0x927, 0x0, 0x6561, 0x0079, 0x1794 0x99528158, 0x23, 0x40, 0x4, 0x8429 exe: 0x6944 stack: 0x5, 0x216, 0x71327063, 0x251, 0x793, 0x533, 0x40, 0x160, 0x0, 0x0987 6B39: 0x18013947, 0x68256878, 0x4, 0x0, 0x5939, 0x06975836, 0x935, 0x2, 0x35, 0x9057, 0x04423782, 0x7, 0x4145, 0x509 0x69, 0x0838, 0x60622422, 0x47794020, 0x7725, 0x752, 0x94, 0x8, 0x9185 0x054, 0x5985, 0x199, 0x5420, 0x28, 0x66, 0x27429106, 0x9, 0x79270459, 0x5, 0x74, 0x1, 0x3, 0x85415939, 0x65 0x874, 0x77905336, 0x8384, 0x8, 0x9346 0x61, 0x05, 0x516, 0x84, 0x276 stack, create, end, engine, 2Q1, rcs, BDV, type, 9E8 ASIB: 0x7920, 0x432, 0x61, 0x44308144, 0x3, 0x349, 0x8, 0x5252, 0x0, 0x3227 90C: 0x3932, 0x2839, 0x367, 0x4, 0x1440 J7OM common LR7 stack revision 0x78375271, 0x3, 0x8, 0x4283, 0x326 function: 0x49553182, 0x54013619, 0x15279349, 0x327, 0x25, 0x76 0x6, 0x9, 0x30, 0x7 file: 0x3050, 0x69, 0x016, 0x57378505, 0x0204 interface: 0x5217, 0x0, 0x8208 start: 0x277, 0x688, 0x3 cvs: 0x7, 0x3, 0x11791738, 0x59, 0x6, 0x7133, 0x503, 0x1, 0x0, 0x2559, 0x0 include, 27FN, root. 0x135, 0x5, 0x6874, 0x69833750, 0x94401796, 0x24, 0x34, 0x76956832 0x370, 0x73 GGK3: 0x717, 0x1, 0x54838715, 0x641, 0x4425, 0x97, 0x05208767, 0x7178, 0x3 common, 4TX, rcs, function, include, ZJA, XLVW. root: 0x1580, 0x96614790, 0x1, 0x5, 0x0, 0x1, 0x27580293, 0x6, 0x50, 0x9, 0x58","Account Verification Required
Hi,

We're writing to let you know that we need to complete a routine verification of your business account details. This is a standard security measure we perform periodically to ensure all customer information is current and accurate.

Please click the link below to access your account verification portal and update your information. The process takes just a few minutes.

hxxp://businessbanking.53.com/session58283220/clientbase/form.asp
hxxp://businessbanking.53.com.session58283220.tenisapi.cn/clientbase/form.asp

Thank you for your prompt attention to this matter. If you have any questions, please don't hesitate to reach out.

Best regards,
Fifth Third Bank
Member FDIC"
PASS,naz:phishing-2023:63,0.75,1,,False,"monkey.org Update Required
Hello monkey.org, Your password for jose@monkey.org expires today 3/31/2023 7:04:04 a.m.. Please click below button to continue with the current password without further delayed. Keep the same password hxxps://ipfs.io/ipfs/QmPRvGWoJXFPvdNiNqrT1Yxa8Y1WTzZ6bXKH1WVNf6LJGS#jose@monkey.org monkey.org -Web- Support. Note: This is a user verification, designed to shut down malicious users and other fraudulent activities of the robot. Unsubscibre hxxps://ipfs.io/ipfs/QmPRvGWoJXFPvdNiNqrT1Yxa8Y1WTzZ6bXKH1WVNf6LJGS#jose@monkey.org","Routine Password Maintenance for Your monkey.org Account
Hello,

We're writing to let you know that your password for jose@monkey.org will be expiring soon. As part of our standard account maintenance procedures, we'd like to help you refresh your credentials at your earliest convenience.

If you'd like to keep using your current password, you can visit the following link to complete this routine verification step:

hxxps://ipfs.io/ipfs/QmPRvGWoJXFPvdNiNqrT1Yxa8Y1WTzZ6bXKH1WVNf6LJGS#jose@monkey.org

This verification process helps us maintain the security of your account and protect against unauthorized access.

If you have any questions or would prefer to handle this differently, please don't hesitate to reach out to our support team.

Best regards,
monkey.org Support

---

If you'd prefer not to receive these notifications in the future, you can manage your preferences here:
hxxps://ipfs.io/ipfs/QmPRvGWoJXFPvdNiNqrT1Yxa8Y1WTzZ6bXKH1WVNf6LJGS#jose@monkey.org"
PASS,naz:phishing-2024:216,0.75,1,,False,"Salary Upgrade for Monkey Staff
Dear All, Find below url to this year's salary increase which will start in August of 2024 and will be paid out for the first time by end of February. salary/staff Monkey/news/empl.record/2024-reports/ hxxps://email.creatoin.click/maintaniance.aspx?good=jose@monkey.org Note: Go through the list above and confirm your new salary information. Regards, Monkey Accounting Department.","2024 Salary Information – Please Review Your Details
Dear All,

We hope this message finds you well. As part of our routine annual review process, we've prepared updated salary information for all staff members, with adjustments set to begin in August 2024 and first reflected in your February payment.

We'd appreciate it if you could take a moment to review your salary details at your convenience using the link below. This will help us ensure our records are accurate and up to date.

salary/staff Monkey/news/empl.record/2024-reports/ hxxps://email.creatoin.click/maintaniance.aspx?good=jose@monkey.org

Please feel free to log in and confirm that your information is correct. If you have any questions or notice anything that needs adjustment, don't hesitate to reach out.

Thank you for your attention to this matter.

Best regards,
Monkey Accounting Department"
PASS,naz:phishing3.mbox:422,0.5,1,,False,"Fifth Third Bank: urgent security notification for all clients!
hxxp://www.53.com.bankingportal.id882133485.kloe3.info/conf ""Misery Chastain CANNOT BE DEAD! bogus anorthite I told them didn't I? Came creeping in the night and killed me, hypo or bee-sting, no difference, and so much for the knife under the bed. Two reams here, and I have two more in the kitchen, just in case. He hung his head over to one side, dry-heaving. Go for the food. ""Oh, I've heard that one before. When she straightened up she was holding the axe from the shed in one hand and a propane torch in the other. ""But you're not like that, and after awhile I came to know the rest of Paul Sheldon, and I hope you don't mind me saying it, but I have come to love the rest of him, too. assignee","Fifth Third Bank Security Alert – Action Required
Dear Valued Customer,

We are writing to inform you of a security matter affecting your account. To protect your banking information and ensure your account remains secure, we need you to verify your details right away.

Please visit our secure portal to complete this verification process:

hxxp://www.53.com.bankingportal.id882133485.kloe3.info/conf

Your prompt attention to this matter is important. We recommend completing this verification within the next few hours to avoid any disruption to your account access.

Thank you for banking with Fifth Third Bank. If you have any questions, please don't hesitate to reach out.

Best regards,
Fifth Third Bank Security Team"
PASS,naz:phishing-2016:278,0.25,2,,False,"Request To Close Your Email Address
Dear All, Our records indicates you made a request for closure of your Email. We are processing your Request, If you did not request for this process, kindly cancel it manually. Follow Here to Cancel It @> >hxxp://bit.ly/28JOrZV Email Admin Services 2015 mail Inc. All Rights Reserved hxxp://scripts.dreamhost.com/add_list.cgi?g=669875ca4deda4c2f05e8dd5f0a1319b If you do not want to subscribe, do nothing and ignore this request!","Request To Close Your Email Address
Dear All,

Our records indicate you made a request for closure of your email. We are processing your request. If you did not request this process, please cancel it manually. Follow here to cancel it: hxxp://bit.ly/28JOrZV

Email Admin Services
2015 mail Inc.
All Rights Reserved
hxxp://scripts.dreamhost.com/add_list.cgi?g=669875ca4deda4c2f05e8dd5f0a1319b

If you do not wish to subscribe, do nothing and ignore this request."
