model,metric,mean,std
logreg,roc_auc,0.9980209894423414,0.0009265029598551668
logreg,pr_auc,0.9944709897810069,0.0033461031934227258
logreg,f1,0.9738316101817983,0.0026429824913280953
logreg,precision,0.9681416249099272,0.0020396641933599037
logreg,recall,0.9795931206362095,0.0038901254253555606
random_forest,roc_auc,0.9994502259132503,0.00022835742540906938
random_forest,pr_auc,0.9981570743576238,0.0006240880189749112
random_forest,f1,0.9786432122658827,0.0026033665448382277
random_forest,precision,0.9959205700264391,0.0010664347446902476
random_forest,recall,0.9619672377961731,0.005139124296372117
gradient_boosting,roc_auc,0.998460145212402,0.0005891096145355016
gradient_boosting,pr_auc,0.9958970866704974,0.0008117174037217716
gradient_boosting,f1,0.9730539264891485,0.0038802909290604946
gradient_boosting,precision,0.9744381975422167,0.004154914640675423
gradient_boosting,recall,0.9717106731226796,0.007610859223843162
