model,severity,n_phish,recall_05,recall_fpr,pr_auc,roc_auc,fpr_threshold,url_condition,training
logreg,0.0,308,0.9902597402597403,0.9902597402597403,0.9924993149157433,0.9991881338035185,0.4723023420367796,original,baseline
random_forest,0.0,308,0.9805194805194806,0.9935064935064936,0.9965150867887395,0.9996033169110092,0.2779333333333337,original,baseline
gradient_boosting,0.0,308,0.987012987012987,0.9902597402597403,0.9943314217093785,0.9993959032420571,0.4197352344974054,original,baseline
logreg,0.25,308,0.9188311688311688,0.922077922077922,0.9408032649024439,0.995874495874496,0.4723023420367796,original,baseline
random_forest,0.25,308,0.9642857142857143,0.9935064935064936,0.9951636730404961,0.9995239802932111,0.2779333333333337,original,baseline
gradient_boosting,0.25,308,0.9577922077922078,0.9707792207792207,0.9878285385218155,0.9986452294144601,0.4197352344974054,original,baseline
logreg,0.5,308,0.935064935064935,0.9383116883116883,0.9543737369214288,0.9976874976874976,0.4723023420367796,original,baseline
random_forest,0.5,308,0.961038961038961,0.9935064935064936,0.9971605529396719,0.9997989901836056,0.2779333333333337,original,baseline
gradient_boosting,0.5,308,0.9772727272727273,0.9837662337662337,0.9934981197448564,0.9994798648644803,0.4197352344974054,original,baseline
logreg,0.75,308,0.9383116883116883,0.9512987012987013,0.9510778986590823,0.9977508246739015,0.4723023420367796,original,baseline
random_forest,0.75,308,0.9675324675324676,1.0,0.997613367791265,0.9998434613819229,0.2779333333333337,original,baseline
gradient_boosting,0.75,308,0.987012987012987,0.9967532467532467,0.9970440682753738,0.9997893844047689,0.4197352344974054,original,baseline
logreg,1.0,308,0.948051948051948,0.9545454545454546,0.9519033505575156,0.997745132360517,0.4723023420367796,original,baseline
random_forest,1.0,308,0.9675324675324676,0.9967532467532467,0.9975548905753894,0.9998370575293652,0.2779333333333337,original,baseline
gradient_boosting,1.0,308,0.9837662337662337,0.9902597402597403,0.9955466293418639,0.9996684227453458,0.4197352344974054,original,baseline
logreg,0.0,308,0.9902597402597403,0.9902597402597403,0.9932266162531819,0.9993645955184417,0.4303680164296808,original,adv_trained
random_forest,0.0,308,0.9805194805194806,0.9935064935064936,0.996406805963977,0.9996100765331535,0.301266666666667,original,adv_trained
gradient_boosting,0.0,308,0.9902597402597403,0.9935064935064936,0.9955818168028091,0.9996769612154228,0.46257280149004554,original,adv_trained
logreg,0.25,308,0.9253246753246753,0.935064935064935,0.9593704437073542,0.997168074091151,0.4303680164296808,original,adv_trained
random_forest,0.25,308,0.9675324675324676,0.9935064935064936,0.9950967446171507,0.9994435763666533,0.301266666666667,original,adv_trained
gradient_boosting,0.25,308,0.974025974025974,0.9772727272727273,0.9883780599753346,0.9991091529553068,0.46257280149004554,original,adv_trained
logreg,0.5,308,0.9805194805194806,0.9837662337662337,0.9779379046648716,0.998926998926999,0.4303680164296808,original,adv_trained
random_forest,0.5,308,0.9837662337662337,1.0,0.9987407290893705,0.9999142595296442,0.301266666666667,original,adv_trained
gradient_boosting,0.5,308,0.9935064935064936,0.9967532467532467,0.9941929908903637,0.9996008265239035,0.46257280149004554,original,adv_trained
logreg,0.75,308,0.987012987012987,0.9967532467532467,0.981272878379213,0.9991995184302878,0.4303680164296808,original,adv_trained
random_forest,0.75,308,0.9902597402597403,1.0,0.999312799529802,0.9999533941841635,0.301266666666667,original,adv_trained
gradient_boosting,0.75,308,1.0,1.0,0.9966913042898172,0.9997737305429614,0.46257280149004554,original,adv_trained
logreg,1.0,308,0.9935064935064936,0.9935064935064936,0.9858956515029966,0.9994087109471725,0.4303680164296808,original,adv_trained
random_forest,1.0,308,0.9935064935064936,1.0,0.9994635446743889,0.9999647788109327,0.301266666666667,original,adv_trained
gradient_boosting,1.0,308,0.9935064935064936,0.9967532467532467,0.9964383174381689,0.9997495382110767,0.46257280149004554,original,adv_trained
logreg,0.0,308,0.987012987012987,0.987012987012987,0.9913066288143719,0.9984488446026907,0.49166107975500567,url_masked,baseline
random_forest,0.0,308,0.9577922077922078,0.987012987012987,0.9944810865672432,0.9991169798862106,0.2879333333333337,url_masked,baseline
gradient_boosting,0.0,308,0.9837662337662337,0.9837662337662337,0.9914468323455311,0.9991148452686914,0.46403434435081065,url_masked,baseline
logreg,0.25,308,0.8798701298701299,0.8863636363636364,0.921771253827092,0.993337147183301,0.49166107975500567,url_masked,baseline
random_forest,0.25,308,0.9318181818181818,0.9772727272727273,0.9889877828289754,0.9985537966307196,0.2879333333333337,url_masked,baseline
gradient_boosting,0.25,308,0.935064935064935,0.9383116883116883,0.9710509373389349,0.9968208429746892,0.46403434435081065,url_masked,baseline
logreg,0.5,308,0.9188311688311688,0.922077922077922,0.9459690335281133,0.9966073812227658,0.49166107975500567,url_masked,baseline
random_forest,0.5,308,0.9415584415584416,0.987012987012987,0.9942991278558839,0.9995759226528458,0.2879333333333337,url_masked,baseline
gradient_boosting,0.5,308,0.9545454545454546,0.961038961038961,0.9839528426235963,0.9986630178937872,0.46403434435081065,url_masked,baseline
