era,model,severity,n_phish,detection_rate
legacy_mbox,logreg,0.0,128,0.984375
legacy_mbox,random_forest,0.0,128,0.9765625
legacy_mbox,gradient_boosting,0.0,128,0.9765625
legacy_mbox,logreg,0.25,128,0.9453125
legacy_mbox,random_forest,0.25,128,0.96875
legacy_mbox,gradient_boosting,0.25,128,0.984375
legacy_mbox,logreg,0.5,128,0.9453125
legacy_mbox,random_forest,0.5,128,0.984375
legacy_mbox,gradient_boosting,0.5,128,0.9765625
legacy_mbox,logreg,0.75,128,0.9296875
legacy_mbox,random_forest,0.75,128,0.9609375
legacy_mbox,gradient_boosting,0.75,128,0.984375
legacy_mbox,logreg,1.0,128,0.9375
legacy_mbox,random_forest,1.0,128,0.96875
legacy_mbox,gradient_boosting,1.0,128,0.984375
modern_year,logreg,0.0,142,0.9929577464788732
modern_year,random_forest,0.0,142,0.971830985915493
modern_year,gradient_boosting,0.0,142,0.9859154929577465
modern_year,logreg,0.25,142,0.9154929577464789
modern_year,random_forest,0.25,142,0.9507042253521126
modern_year,gradient_boosting,0.25,142,0.9647887323943662
modern_year,logreg,0.5,142,0.8802816901408451
modern_year,random_forest,0.5,142,0.9436619718309859
modern_year,gradient_boosting,0.5,142,0.9859154929577465
modern_year,logreg,0.75,142,0.8169014084507042
modern_year,random_forest,0.75,142,0.9225352112676056
modern_year,gradient_boosting,0.75,142,0.9577464788732394
modern_year,logreg,1.0,142,0.8028169014084507
modern_year,random_forest,1.0,142,0.8802816901408451
modern_year,gradient_boosting,1.0,142,0.9577464788732394
