url_condition,training,model,n,det_sev0,det_sev1,effect_drop,mcnemar_b_lost,mcnemar_c_gained,mcnemar_exact_p
original,baseline,logreg,270,0.9888888888888889,0.8666666666666667,0.12222222222222223,34,1,2.0954757928848267e-09
original,baseline,random_forest,270,0.9740740740740741,0.9222222222222223,0.051851851851851816,18,4,0.004343509674072266
original,baseline,gradient_boosting,270,0.9814814814814815,0.9703703703703703,0.011111111111111183,8,5,0.5810546875
original,advgem_trained,logreg,270,0.9851851851851852,0.9740740740740741,0.011111111111111072,7,4,0.548828125
original,advgem_trained,random_forest,270,0.9740740740740741,0.9703703703703703,0.0037037037037037646,7,6,1.0
original,advgem_trained,gradient_boosting,270,0.9851851851851852,0.9925925925925926,-0.007407407407407418,2,4,0.6875
url_masked,baseline,logreg,270,0.9851851851851852,0.762962962962963,0.2222222222222222,61,1,2.7321894746634712e-17
url_masked,baseline,random_forest,270,0.9481481481481482,0.8555555555555555,0.09259259259259267,33,8,0.00011222142620681552
url_masked,baseline,gradient_boosting,270,0.9777777777777777,0.9259259259259259,0.051851851851851816,20,6,0.009355306625366211
url_masked,advgem_trained,logreg,270,0.9888888888888889,0.9703703703703703,0.0185185185185186,8,3,0.2265625
url_masked,advgem_trained,random_forest,270,0.9555555555555556,0.9481481481481482,0.007407407407407418,12,10,0.8318119049072266
url_masked,advgem_trained,gradient_boosting,270,0.9814814814814815,0.9592592592592593,0.022222222222222254,11,5,0.210113525390625
