set,model,severity,n_phish,roc_auc,roc_auc_lo,roc_auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,f1,f1_lo,f1_hi,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi
gemini_2_5_flash,logreg,0.0,308,0.9991881338035185,0.998013716296632,0.9998361747646524,0.9924993149157433,0.984781598614851,0.997943470140749,0.9355828220858896,0.9138141089404369,0.9543564907642352,0.8866279069767442,0.8492742474916388,0.9200056980056981,0.9902597402597403,0.9769698719065877,1.0
gemini_2_5_flash,random_forest,0.0,308,0.9996033169110092,0.9989120637683728,0.9999609737511036,0.9965150867887395,0.9914597069672794,0.9994654132276016,0.9837133550488599,0.9726010799566247,0.9931046291922532,0.9869281045751634,0.9729660547919934,0.9968849770708771,0.9805194805194806,0.9635230558232634,0.9935075408462506
gemini_2_5_flash,gradient_boosting,0.0,308,0.9993959032420571,0.9985328458074041,0.9998744524227625,0.9943314217093785,0.988624474869912,0.9982357116461402,0.9544740973312402,0.9361685133573516,0.9697020370933415,0.9240121580547113,0.8912958824326155,0.9509261595722869,0.987012987012987,0.973152102682304,0.9969235474006116
gemini_2_5_flash,logreg,0.25,308,0.995874495874496,0.9939554445840421,0.9974011046992507,0.9408032649024439,0.9056794752830294,0.9675682005006422,0.8984126984126984,0.87395985135529,0.9208891341346666,0.8788819875776398,0.8399558823529412,0.9141195108169197,0.9188311688311688,0.8860759493670886,0.9466666666666667
gemini_2_5_flash,random_forest,0.25,308,0.9995239802932111,0.9988704118805983,0.9999191699963956,0.9951636730404961,0.9897667720329556,0.9988070948571932,0.9753694581280788,0.961982327204095,0.9865373172074202,0.9867109634551495,0.9725035685963521,0.9968155393792336,0.9642857142857143,0.9427548618912951,0.9822038866178332
gemini_2_5_flash,gradient_boosting,0.25,308,0.9986452294144601,0.9974444334052197,0.999560393289213,0.9878285385218155,0.9798542558530758,0.9941861000708793,0.9394904458598726,0.9186598815992215,0.9574564214304025,0.921875,0.8885709982788296,0.9496649571567262,0.9577922077922078,0.9335658803222094,0.9787900128040973
gemini_2_5_flash,logreg,0.5,308,0.9976874976874976,0.9964476109562889,0.998581164385174,0.9543737369214288,0.9187106281907875,0.9798528901253744,0.9070866141732283,0.8817086693548387,0.9286866899680872,0.8807339449541285,0.8422628981377837,0.9146889906792008,0.935064935064935,0.9059213652201457,0.9602681791357944
gemini_2_5_flash,random_forest,0.5,308,0.9997989901836056,0.999597485865342,0.9999526190831795,0.9971605529396719,0.994316444486538,0.999309709225555,0.9736842105263158,0.96,0.9853519668737061,0.9866666666666667,0.972315936178393,0.996805618946194,0.961038961038961,0.939094387755102,0.9802647756686799
gemini_2_5_flash,gradient_boosting,0.5,308,0.9994798648644803,0.9990935095127007,0.9997605430606834,0.9934981197448564,0.98911807495096,0.9968015317449679,0.9495268138801262,0.9298682770481551,0.9661538461538461,0.9233128834355828,0.8899357030548068,0.9504753961968304,0.9772727272727273,0.9575951523129865,0.9931052136048016
gemini_2_5_flash,logreg,0.75,308,0.9977508246739015,0.9966752915535282,0.998620102500123,0.9510778986590823,0.914890124602737,0.9790407788449518,0.9088050314465409,0.8830748829953198,0.9317524278392231,0.8810975609756098,0.8419322945143065,0.9154760454288325,0.9383116883116883,0.9090909090909091,0.9633394039735099
gemini_2_5_flash,random_forest,0.75,308,0.9998434613819229,0.9996833463984456,0.999965968715108,0.997613367791265,0.9949382462822244,0.9994676489118981,0.9770491803278688,0.9642301710730948,0.9880614730501793,0.9867549668874173,0.9726016956231206,0.9968253968253968,0.9675324675324676,0.9451612903225807,0.985461038961039
gemini_2_5_flash,gradient_boosting,0.75,308,0.9997893844047689,0.999623756751516,0.9999189419702535,0.9970440682753738,0.9947602644662569,0.9988188180602177,0.9544740973312402,0.9365553730314603,0.9708469320784539,0.9240121580547113,0.8916324538968905,0.9508312316099201,0.987012987012987,0.9742744528575874,0.9970240303094532
gemini_2_5_flash,logreg,1.0,308,0.997745132360517,0.9966357648831188,0.9985876471107618,0.9519033505575156,0.9158421583026023,0.9792571427498569,0.9139280125195618,0.8904657458817051,0.934428019185339,0.8821752265861027,0.844217103102326,0.9161146658322363,0.948051948051948,0.9220686786523086,0.9709700757182864
gemini_2_5_flash,random_forest,1.0,308,0.9998370575293652,0.9996680613882346,0.9999514729817699,0.9975548905753894,0.9950116230979928,0.9993009376654086,0.9770491803278688,0.9635024371317021,0.9882391961759829,0.9867549668874173,0.9724754824422651,0.9968354430379747,0.9675324675324676,0.9453287755335643,0.9858669685960285
gemini_2_5_flash,gradient_boosting,1.0,308,0.9996684227453458,0.999420163157514,0.9998601044984935,0.9955466293418639,0.9923450978753403,0.9980974942665326,0.9528301886792453,0.9339716248706669,0.9687512828407225,0.9237804878048781,0.8909657320872274,0.950508446463203,0.9837662337662337,0.9685295382850588,0.9966996699669967
