model,severity,n_phish,recall_05,recall_fpr,pr_auc,roc_auc,fpr_threshold,url_condition,training
logreg,0.0,270,0.9888888888888889,0.9888888888888889,0.9920720989529426,0.9994545498819003,0.4723023420367796,original,baseline
random_forest,0.0,270,0.9740740740740741,0.9925925925925926,0.9953555229520255,0.9995645327554159,0.2779333333333337,original,baseline
gradient_boosting,0.0,270,0.9814814814814815,0.9888888888888889,0.9926137537270842,0.9993384793954594,0.4197352344974054,original,baseline
logreg,0.25,270,0.9296296296296296,0.9333333333333333,0.9420662318893651,0.9953117263658573,0.4723023420367796,original,baseline
random_forest,0.25,270,0.9592592592592593,0.9888888888888889,0.9931046056055092,0.9989732226199463,0.2779333333333337,original,baseline
gradient_boosting,0.25,270,0.9740740740740741,0.9814814814814815,0.9879244154927803,0.9979854059626139,0.4197352344974054,original,baseline
logreg,0.5,270,0.9111111111111111,0.9222222222222223,0.9405267261432658,0.9973060283601595,0.4723023420367796,original,baseline
random_forest,0.5,270,0.9629629629629629,0.9888888888888889,0.9954837345146632,0.9997029244892492,0.2779333333333337,original,baseline
gradient_boosting,0.5,270,0.9814814814814815,0.9888888888888889,0.9924912879223688,0.999462666699134,0.4197352344974054,original,baseline
logreg,0.75,270,0.8703703703703703,0.8814814814814815,0.9051728123306272,0.9958141573526189,0.4723023420367796,original,baseline
random_forest,0.75,270,0.9407407407407408,0.9851851851851852,0.9904646956112938,0.999466319266889,0.2779333333333337,original,baseline
gradient_boosting,0.75,270,0.9703703703703703,0.9814814814814815,0.9894265130381517,0.9990827996526003,0.4197352344974054,original,baseline
logreg,1.0,270,0.8666666666666667,0.8814814814814815,0.9033989957924842,0.9956542560531164,0.4723023420367796,original,baseline
random_forest,1.0,270,0.9222222222222223,0.9925925925925926,0.9922057321668771,0.9995933474565953,0.2779333333333337,original,baseline
gradient_boosting,1.0,270,0.9703703703703703,0.9851851851851852,0.9878657329575925,0.999254876177953,0.4197352344974054,original,baseline
logreg,0.0,270,0.9851851851851852,0.9888888888888889,0.9932787418294422,0.999586042321085,0.4267267546032316,original,advgem_trained
random_forest,0.0,270,0.9740740740740741,0.9888888888888889,0.99529889607632,0.999558039301629,0.31333333333333335,original,advgem_trained
gradient_boosting,0.0,270,0.9851851851851852,0.9888888888888889,0.9941814498037387,0.9995917240931486,0.47687706944664005,original,advgem_trained
logreg,0.25,270,0.9629629629629629,0.9629629629629629,0.9694150657021853,0.9968969407715847,0.4267267546032316,original,advgem_trained
random_forest,0.25,270,0.9740740740740741,0.9925925925925926,0.9942258615639767,0.9992061752745514,0.31333333333333335,original,advgem_trained
gradient_boosting,0.25,270,0.9777777777777777,0.9814814814814815,0.9900075596864779,0.9987719255525522,0.47687706944664005,original,advgem_trained
logreg,0.5,270,0.9851851851851852,0.9888888888888889,0.9799283556984963,0.9991883182766373,0.4267267546032316,original,advgem_trained
random_forest,0.5,270,0.9888888888888889,1.0,0.9982115015884079,0.9998896112856227,0.31333333333333335,original,advgem_trained
gradient_boosting,0.5,270,0.9925925925925926,0.9925925925925926,0.9952190128856966,0.9996915609451222,0.47687706944664005,original,advgem_trained
logreg,0.75,270,0.9814814814814815,0.9962962962962963,0.9737065741241225,0.9990901047881104,0.4267267546032316,original,advgem_trained
random_forest,0.75,270,0.9703703703703703,1.0,0.9972078480399438,0.9998275176337854,0.31333333333333335,original,advgem_trained
gradient_boosting,0.75,270,0.9851851851851852,0.9851851851851852,0.9935818458899043,0.9995852306393618,0.47687706944664005,original,advgem_trained
logreg,1.0,270,0.9740740740740741,0.9888888888888889,0.9745327413345941,0.9990340987491985,0.4267267546032316,original,advgem_trained
random_forest,1.0,270,0.9703703703703703,1.0,0.9975162121056212,0.9998599849027199,0.31333333333333335,original,advgem_trained
gradient_boosting,1.0,270,0.9925925925925926,0.9925925925925926,0.9937065025517825,0.9996087694093392,0.47687706944664005,original,advgem_trained
logreg,0.0,270,0.9851851851851852,0.9851851851851852,0.9910350357601011,0.9992970836275679,0.49166107975500567,url_masked,baseline
random_forest,0.0,270,0.9481481481481482,0.9814814814814815,0.9931227972497833,0.9993096646942801,0.2879333333333337,url_masked,baseline
gradient_boosting,0.0,270,0.9777777777777777,0.9777777777777777,0.9892012701501487,0.9992313374079755,0.46403434435081065,url_masked,baseline
logreg,0.25,270,0.9074074074074074,0.9111111111111111,0.9305078254520462,0.9934797607162278,0.49166107975500567,url_masked,baseline
random_forest,0.25,270,0.9407407407407408,0.9777777777777777,0.9873041001241677,0.9981895439160396,0.2879333333333337,url_masked,baseline
gradient_boosting,0.25,270,0.9518518518518518,0.9555555555555556,0.973177598846133,0.9962435369842777,0.46403434435081065,url_masked,baseline
logreg,0.5,270,0.8740740740740741,0.8740740740740741,0.9176823708520578,0.9954537706674458,0.49166107975500567,url_masked,baseline
random_forest,0.5,270,0.937037037037037,0.9888888888888889,0.99122268440546,0.9993758167547342,0.2879333333333337,url_masked,baseline
gradient_boosting,0.5,270,0.9629629629629629,0.9740740740740741,0.9820419403242847,0.9982841048368113,0.46403434435081065,url_masked,baseline
logreg,0.75,270,0.8148148148148148,0.8148148148148148,0.8612665001213744,0.9929042783743638,0.49166107975500567,url_masked,baseline
random_forest,0.75,270,0.9111111111111111,0.9666666666666667,0.9821639831504136,0.9987556919180851,0.2879333333333337,url_masked,baseline
gradient_boosting,0.75,270,0.9333333333333333,0.9481481481481482,0.9737688388481135,0.9980868661780342,0.46403434435081065,url_masked,baseline
logreg,1.0,270,0.762962962962963,0.7666666666666667,0.8470029711247695,0.9920008766162611,0.49166107975500567,url_masked,baseline
random_forest,1.0,270,0.8555555555555555,0.9814814814814815,0.981882323809986,0.998955771462894,0.2879333333333337,url_masked,baseline
gradient_boosting,1.0,270,0.9259259259259259,0.937037037037037,0.9578450032991204,0.9952841291872632,0.46403434435081065,url_masked,baseline
logreg,0.0,270,0.9888888888888889,0.9888888888888889,0.9924184264589025,0.9994764652884311,0.44190300392394116,url_masked,advgem_trained
random_forest,0.0,270,0.9555555555555556,0.9814814814814815,0.9922855073066884,0.9992228147498803,0.3146000000000004,url_masked,advgem_trained
gradient_boosting,0.0,270,0.9814814814814815,0.9851851851851852,0.9903615096697803,0.9993035770813548,0.4629585324542975,url_masked,advgem_trained
logreg,0.25,270,0.9407407407407408,0.9518518518518518,0.9649475721095339,0.9959732469703979,0.44190300392394116,url_masked,advgem_trained
random_forest,0.25,270,0.9592592592592593,0.9777777777777777,0.9894521884599908,0.998170063554679,0.3146000000000004,url_masked,advgem_trained
gradient_boosting,0.25,270,0.9481481481481482,0.9592592592592593,0.9799922227084714,0.9975633314664654,0.4629585324542975,url_masked,advgem_trained
logreg,0.5,270,0.9777777777777777,0.9888888888888889,0.980445770858893,0.9990162417512845,0.44190300392394116,url_masked,advgem_trained
random_forest,0.5,270,0.9777777777777777,0.9888888888888889,0.9962263599389305,0.9997435085754174,0.3146000000000004,url_masked,advgem_trained
